Name,TeamAbbreviation,GamesPlayed,Minutes,Rebounds,DefRebounds,FTDefRebounds,DefFTReboundPct,Def2ptRebounds,Def2ptReboundPct,Def3ptRebounds,Def3ptReboundPct,DefFGReboundPct,OffRebounds,FTOffRebounds,OffFTReboundPct,Off2ptRebounds,Off2ptReboundPct,Off3ptRebounds,Off3ptReboundPct,OffFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,season,season_type
Andrew Wiggins,MIN,82,3048,4.0,2.7560975609756087,0.1097560975609756,0.05921052631578948,1.4146341463414631,0.0703883495145631,1.2317073170731707,0.09730250481695568,0.08078927773641102,1.2439024390243902,0.024390243902439025,0.012048192771084338,0.8414634146341463,0.03524004085801838,0.3780487804878049,0.03934010152284264,0.03641660597232338,0.06356589147286823,0.06504065040650407,0.08414872798434443,0.11083743842364532,0.04867256637168142,0.05521472392638037,0.03197158081705151,0.02018842530282637,0.040280210157618214,0.03686635944700462,2016-17,regular season
Karl-Anthony Towns,MIN,82,3030,12.280487804878053,8.670731707317072,0.5975609756097561,0.3475177304964539,5.036585365853658,0.2490952955367913,3.0365853658536586,0.2429268292682927,0.2467387253074916,3.609756097560976,0.06097560975609756,0.03184713375796178,2.7073170731707314,0.1150855365474339,0.8414634146341463,0.08603491271820449,0.1065543756865617,0.2118380062305296,0.2901960784313726,0.2549407114624506,0.2400497512437811,0.25339366515837103,0.13719512195121952,0.12478031634446395,0.08664772727272728,0.06722689075630252,0.14009661835748793,2016-17,regular season
James Harden,HOU,81,2947,8.135802469135802,6.962962962962963,0.7901234567901234,0.4076433121019109,3.740740740740741,0.17750439367311072,2.432098765432099,0.17909090909090908,0.17812611328820804,1.1728395061728396,0.037037037037037035,0.016393442622950817,0.5802469135802469,0.039729501267962805,0.5555555555555556,0.028337531486146095,0.033201010465535905,0.1070811744386874,0.18118466898954705,0.2472924187725632,0.18278301886792453,0.16666666666666666,0.021671826625387004,0.08670520231213873,0.015706806282722512,0.02146263910969793,0.054545454545454536,2016-17,regular season
Giannis Antetokounmpo,MIL,80,2845,8.75,6.975,0.6375,0.3290322580645161,3.4125,0.1731135066582118,2.925,0.2356495468277945,0.19727626459143968,1.775,0.0375,0.018404907975460124,1.325,0.06483180428134556,0.4125,0.03832752613240418,0.05568910256410257,0.15226939970717426,0.14692982456140352,0.2328767123287671,0.2399445214979196,0.22426470588235287,0.08739255014326648,0.06551059730250483,0.02631578947368421,0.04173354735152488,0.029411764705882363,2016-17,regular season
John Wall,WAS,78,2836,4.17948717948718,3.423076923076924,0.01282051282051282,0.006134969325153374,1.7820512820512822,0.08720200752823086,1.6282051282051282,0.1263681592039801,0.10234705656021546,0.7564102564102564,0.02564102564102564,0.0136986301369863,0.5512820512820513,0.02488425925925926,0.1794871794871795,0.016,0.021897810218978103,0.06451612903225806,0.07644628099173552,0.12284069097888675,0.13434727503168567,0.09722222222222222,0.033383915022761765,0.03024193548387097,0.010471204188481676,0.01461038961038961,0.019305019305019305,2016-17,regular season
Jimmy Butler,CHI,76,2809,6.184210526315789,4.5,0.09210526315789473,0.05223880597014925,2.6973684210526314,0.11549295774647887,1.7105263157894737,0.14115092290988054,0.12425816023738873,1.6842105263157894,0.02631578947368421,0.01694915254237288,1.263157894736842,0.048830111902339775,0.3947368421052632,0.03901170351105332,0.04606946983546618,0.08827586206896551,0.07736943907156674,0.1894934333958724,0.14265927977839335,0.135678391959799,0.06880733944954129,0.03839732888146912,0.03927068723702665,0.04651162790697674,0.01904761904761905,2016-17,regular season
Harrison Barnes,DAL,79,2804,4.987341772151898,3.8101265822784818,0.20253164556962025,0.10666666666666667,2.3037974683544302,0.11981566820276494,1.3037974683544304,0.12335329341317365,0.12107051826677995,1.1772151898734178,0.02531645569620253,0.02298850574712644,0.6455696202531646,0.03294573643410853,0.5063291139240507,0.03864734299516908,0.03523035230352303,0.10430839002267574,0.10526315789473684,0.14652014652014653,0.11842105263157895,0.1365638766519824,0.04087193460490463,0.028985507246376805,0.03151862464183381,0.036991368680641186,0.04464285714285714,2016-17,regular season
Russell Westbrook,OKC,81,2802,10.666666666666666,8.975308641975309,1.2098765432098766,0.6163522012578616,4.777777777777779,0.21864406779661014,2.9876543209876543,0.2604951560818084,0.2330492775101889,1.6913580246913582,0.04938271604938271,0.021505376344086027,1.0987654320987654,0.05138568129330254,0.5432098765432098,0.04271844660194175,0.04815351194786387,0.16361071932299012,0.24956369982548,0.26229508196721313,0.2691771269177127,0.2311320754716981,0.06382978723404255,0.045267489711934165,0.038461538461538464,0.043137254901960784,0.04150943396226415,2016-17,regular season
CJ McCollum,POR,80,2796,3.6125,2.8625,0.0875,0.04430379746835443,1.7125,0.07606885063853415,1.0625,0.10035419126328217,0.08383685800604229,0.75,0.025,0.015503875968992246,0.4375,0.020759193357058125,0.2875,0.02465166130760986,0.022145857197403588,0.0611353711790393,0.06386861313868614,0.1060070671378092,0.09878419452887538,0.1058201058201058,0.01027900146842878,0.03253796095444685,0.02389705882352941,0.026063100137174208,0.0196078431372549,2016-17,regular season
LeBron James,CLE,74,2795,8.635135135135135,7.324324324324325,0.4189189189189189,0.25833333333333336,4.391891891891892,0.19345238095238096,2.5135135135135136,0.18040737148399613,0.1884913316119513,1.3108108108108107,0.040540540540540536,0.016574585635359115,0.7567567567567568,0.04357976653696498,0.5135135135135135,0.031147540983606562,0.0375249500998004,0.13696369636963696,0.2341549295774648,0.21541501976284586,0.18865435356200527,0.1575091575091575,0.076171875,0.0325,0.010723860589812331,0.029797377830750895,0.03412073490813648,2016-17,regular season
Trevor Ariza,HOU,80,2773,5.725,5.05,0.425,0.2328767123287671,2.4625,0.1238993710691824,2.1625,0.16618635926993275,0.14063093880653746,0.675,0.0375,0.0189873417721519,0.4,0.02849510240427426,0.2375,0.012508229098090849,0.01930355791067373,0.10989010989010987,0.1090573012939002,0.1550695825049702,0.1658291457286432,0.1673469387755102,0.03130148270181219,0.029673590504451036,0.01675977653631285,0.012479201331114808,0.012618296529968454,2016-17,regular season
Rudy Gobert,UTA,81,2744,12.777777777777779,8.901234567901234,0.7777777777777778,0.4883720930232558,5.506172839506172,0.2464088397790055,2.617283950617284,0.26533166458072593,0.2522039095438865,3.876543209876543,0.1111111111111111,0.05389221556886229,2.716049382716049,0.15492957746478872,1.0493827160493827,0.09320175438596492,0.13078902229845624,0.1984375,0.2671118530884808,0.27845884413309985,0.26053042121684866,0.2848101265822785,0.2148148148148148,0.14317180616740088,0.09154929577464788,0.07987711213517665,0.1264367816091954,2016-17,regular season
Kemba Walker,CHA,79,2739,3.8987341772151898,3.3291139240506333,0.0759493670886076,0.05882352941176471,1.810126582278481,0.09340300457217507,1.4430379746835442,0.10420475319926874,0.09790476190476192,0.569620253164557,0.0,0.0,0.35443037974683544,0.017456359102244388,0.2151898734177216,0.016083254493850518,0.01691093573844419,0.090311986863711,0.06796116504854369,0.1176470588235294,0.1099290780141844,0.0846774193548387,0.030050083472454088,0.012738853503184714,0.00749063670411985,0.015283842794759825,0.02127659574468085,2016-17,regular season
Devin Booker,PHX,78,2731,3.1923076923076925,2.602564102564102,0.0,0.0,1.6794871794871795,0.07820895522388059,0.9230769230769232,0.07991120976692563,0.07880434782608696,0.5897435897435898,0.038461538461538464,0.018072289156626502,0.38461538461538464,0.016304347826086956,0.16666666666666666,0.015776699029126214,0.01614114114114114,0.06635802469135803,0.07276507276507277,0.09706959706959707,0.08595988538681948,0.059113300492610835,0.0243161094224924,0.0162748643761302,0.007949125596184421,0.018739352640545142,0.008438818565400843,2016-17,regular season
Anthony Davis,NOP,75,2708,11.786666666666667,9.493333333333334,0.84,0.4598540145985402,5.52,0.2443919716646989,3.1333333333333333,0.21983161833489245,0.2348896127397756,2.293333333333333,0.013333333333333334,0.006756756756756757,1.72,0.07669441141498216,0.56,0.04703247480403135,0.06640776699029126,0.2130081300813008,0.2737430167597765,0.25092250922509224,0.21919431279620846,0.2222222222222222,0.1044776119402985,0.09363295880149812,0.02935779816513762,0.04978038067349927,0.0380952380952381,2016-17,regular season
Damian Lillard,POR,75,2693,4.906666666666666,4.293333333333333,0.05333333333333334,0.02797202797202797,2.6,0.11558980438648488,1.64,0.14487632508833925,0.1253943217665615,0.6133333333333333,0.013333333333333334,0.00641025641025641,0.3466666666666667,0.016300940438871474,0.2533333333333333,0.01930894308943089,0.017448623497479644,0.08490566037735849,0.11194029850746268,0.15728155339805824,0.15128593040847202,0.12234042553191488,0.021216407355021217,0.020454545454545454,0.004464285714285714,0.01552393272962484,0.03317535545023697,2016-17,regular season
Paul George,IND,75,2689,6.56,5.786666666666667,0.22666666666666666,0.12686567164179105,2.8666666666666667,0.14210178453403832,2.6933333333333334,0.2005958291956306,0.16547619047619047,0.7733333333333333,0.02666666666666667,0.017241379310344827,0.4533333333333333,0.021397105097545627,0.2933333333333333,0.02746566791510612,0.023430962343096242,0.0967741935483871,0.1511627906976744,0.18285714285714288,0.20345744680851066,0.19215686274509805,0.028985507246376805,0.021568627450980392,0.015100671140939596,0.025817555938037858,0.031818181818181815,2016-17,regular season
Bradley Beal,WAS,77,2684,3.116883116883117,2.4285714285714284,0.12987012987012986,0.06369426751592358,1.2987012987012987,0.06548788474132286,1.0,0.08105263157894736,0.07145740815502624,0.6883116883116883,0.0,0.0,0.4935064935064935,0.02369077306733167,0.1948051948051948,0.01781472684085511,0.021668029435813568,0.06,0.0511727078891258,0.08464566929133857,0.07856191744340879,0.09045226130653268,0.036065573770491806,0.014373716632443531,0.017751479289940832,0.01658374792703151,0.02092050209205021,2016-17,regular season
Jeff Teague,IND,82,2657,4.024390243902439,3.6219512195121952,0.036585365853658534,0.0234375,2.0609756097560976,0.11259160559626916,1.5243902439024388,0.12388503468780973,0.11713147410358565,0.4024390243902439,0.0,0.0,0.2804878048780488,0.014456316781898175,0.12195121951219512,0.013003901170351105,0.013983050847457629,0.09314586994727593,0.10714285714285714,0.138671875,0.1193633952254642,0.13725490196078433,0.012195121951219513,0.019493177387914232,0.011945392491467578,0.01054481546572935,0.02,2016-17,regular season
Gorgui Dieng,MIN,82,2653,7.8902439024390265,5.597560975609754,0.5243902439024389,0.3771929824561404,3.3536585365853657,0.18618821936357485,1.7195121951219512,0.1564927857935627,0.17493692178301093,2.292682926829268,0.04878048780487805,0.0291970802919708,1.7073170731707317,0.08206330597889801,0.5365853658536586,0.06358381502890173,0.07673060884070057,0.17562724014336914,0.19282511210762326,0.1923890063424948,0.14589235127478753,0.19487179487179487,0.0949820788530466,0.060924369747899165,0.08630952380952381,0.058,0.078125,2016-17,regular season
Klay Thompson,GSW,78,2649,3.6538461538461537,3.0256410256410247,0.08974358974358974,0.04794520547945205,1.7692307692307692,0.07967667436489607,1.1666666666666667,0.09276248725790012,0.08440840398083302,0.6282051282051282,0.01282051282051282,0.009174311926605505,0.38461538461538464,0.02304147465437788,0.2307692307692308,0.017475728155339806,0.02058319039451115,0.06750392464678179,0.06873977086743044,0.10950413223140497,0.0959079283887468,0.08040201005025126,0.03,0.03561643835616438,0.004576659038901603,0.018633540372670808,0.013333333333333334,2016-17,regular season
