Name,TeamAbbreviation,GamesPlayed,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtsMade,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage,season,season_type
Kevin Durant,OKC,82,3239,6337,30.146341463414632,8.121951219512193,16.0609756097561,0.5056947608200456,1.5609756097560976,4.280487804878049,0.3646723646723647,0.3667621776504298,9.219512195121947,7.6585365853658525,8.585365853658537,3.6219512195121952,1.0609756097560976,0.4714714714714714,0.5032051282051282,0.7734375,0.21043165467625896,0.4921630552220889,0.5143884892086331,0.5971014492753624,1.024390243902439,0.7804878048780488,0.04859529233105543,0.036585365853658534,0.008547008547008548,31.623224382843752,2009-10,regular season
Andre Iguodala,PHI,82,3193,6088,17.085365853658537,4.902439024390244,9.96341463414634,0.4920440636474908,1.146341463414634,3.6951219512195115,0.3102310231023102,0.3186440677966101,3.841463414634146,4.073170731707316,5.7317073170731705,2.7804878048780486,0.6585365853658537,0.4154228855721393,0.4326424870466321,0.8085106382978723,0.2705357142857143,0.5011601710171018,0.4848214285714286,0.5262960180315552,0.3902439024390244,0.3780487804878049,0.0379436964504284,0.024390243902439025,0.006600660066006601,21.829671118770648,2009-10,regular season
Rudy Gay,MEM,80,3175,6158,19.5875,6.675,13.575,0.4917127071823205,0.825,2.525,0.32673267326732675,0.3350253807106599,3.7625,4.8,8.55,2.2125,0.2625,0.3595505617977528,0.3824701195219123,0.8939393939393939,0.15683229813664595,0.4954084243369735,0.4914596273291926,0.5326308633582597,0.8,1.1375,0.08379373848987108,0.0125,0.0049504950495049506,22.739269342964306,2009-10,regular season
Stephen Jackson,CHA,81,3129,5980,20.580246913580247,5.814814814814817,12.654320987654321,0.4595121951219512,1.5925925925925926,4.851851851851851,0.3282442748091603,0.3341968911917099,4.172839506172839,4.8395061728395055,6.790123456790122,3.5925925925925934,1.1851851851851851,0.416135881104034,0.4326710816777042,0.751937984496124,0.2771509167842031,0.5077264184397163,0.4686177715091678,0.5110361741263029,0.4444444444444444,1.1975308641975309,0.09463414634146344,0.02469135802469136,0.005089058524173028,27.45968338511614,2009-10,regular season
Gerald Wallace,CHA,76,3120,5820,18.236842105263158,5.315789473684211,10.56578947368421,0.5031133250311333,0.6842105263157895,1.8421052631578947,0.3714285714285713,0.3741007194244605,5.552631578947367,6.026315789473684,4.605263157894737,2.013157894736842,0.03947368421052632,0.5668316831683168,0.6058201058201058,0.9807692307692308,0.14846235418875928,0.5465644373673036,0.5111346765641569,0.5818639798488665,0.6842105263157895,1.3947368421052628,0.1320049813200498,0.0,0.0,20.571428571428573,2009-10,regular season
O.J. Mayo,MEM,82,3114,6064,17.463414634146346,4.951219512195122,10.097560975609756,0.4903381642512077,1.6585365853658536,4.329268292682927,0.38309859154929576,0.3919308357348703,2.5853658536585367,4.658536585365853,5.243902439024391,4.060975609756096,0.9146341463414634,0.4704433497536946,0.4847715736040609,0.8161764705882353,0.30008453085376163,0.5166963310580205,0.5156382079459002,0.5453160700685453,0.2926829268292683,0.6951219512195121,0.06884057971014493,0.024390243902439025,0.0056338028169014105,20.685746670444885,2009-10,regular season
Zach Randolph,MEM,81,3051,5913,20.753086419753085,7.864197530864197,15.851851851851851,0.4961059190031153,0.1851851851851852,0.6419753086419753,0.28846153846153844,0.3111111111111111,4.469135802469137,7.382716049382715,8.345679012345679,0.4444444444444444,0.1111111111111111,0.4693877551020408,0.5817120622568094,0.8,0.03892215568862276,0.4935642319277109,0.4936377245508982,0.5447180816591056,3.037037037037037,1.4814814814814814,0.09345794392523364,0.012345679012345678,0.019230769230769232,24.6851020703634,2009-10,regular season
Jeff Green,OKC,82,3043,5888,15.109756097560975,4.646341463414634,9.24390243902439,0.5026385224274407,1.2682926829268293,3.8048780487804885,0.3333333333333333,0.335483870967742,2.0121951219512195,4.195121951219512,5.097560975609756,3.8048780487804885,0.0,0.4514435695538058,0.5058823529411764,1.0,0.29158878504672897,0.5130433520599251,0.5018691588785047,0.5322164948453608,1.0,0.5365853658536586,0.058047493403693924,0.0,0.0,19.2953768396016,2009-10,regular season
Dirk Nowitzki,DAL,81,3039,5848,25.024691358024693,8.25925925925926,16.97530864197531,0.4865454545454546,0.6296296296296297,1.4938271604938271,0.4214876033057851,0.4214876033057851,6.617283950617285,9.703703703703702,6.814814814814817,1.8518518518518519,0.037037037037037035,0.5874439461883408,0.6036866359447005,0.9803921568627452,0.08088235294117647,0.4420221404682274,0.4983288770053476,0.5662011173184358,0.4444444444444444,0.6172839506172839,0.03636363636363636,0.0,0.0,28.8787185354691,2009-10,regular season
Brook Lopez,NJN,82,3027,5762,18.804878048780488,6.865853658536586,13.74390243902439,0.4995563442768412,0.0,0.024390243902439025,0.0,0.0,5.073170731707316,7.804878048780488,5.926829268292682,0.0,0.0,0.5683836589698046,0.6911447084233261,0.0,0.001771479185119575,0.4897033215234721,0.4986713906111603,0.5644216691068814,2.4390243902439024,0.9512195121951221,0.06921029281277727,0.0,0.0,23.7014470677837,2009-10,regular season
