Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
Andrew Wiggins,MIN,82,3048,2.304878048780488,5.378048780487805,1.5365853658536586,0.7682926829268293,0.7439024390243902,0.25609756097560976,0.5365853658536586,0.35365853658536583,0.4146341463414634,2016-17,regular season
Karl-Anthony Towns,MIN,82,3030,2.6829268292682933,6.182926829268293,1.8658536585365852,0.8170731707317073,1.0121951219512195,0.3170731707317073,0.5365853658536586,0.14634146341463414,0.6707317073170732,2016-17,regular season
James Harden,HOU,81,2947,11.197530864197534,26.93827160493827,6.654320987654321,4.5432098765432105,5.938271604938271,0.5061728395061729,0.20987654320987653,1.1851851851851851,3.3580246913580245,2016-17,regular season
Giannis Antetokounmpo,MIL,80,2845,5.425,13.25,3.025,2.4,1.8875,0.65,0.4875,0.6,1.8,2016-17,regular season
John Wall,WAS,78,2836,10.653846153846152,25.0,6.961538461538463,3.692307692307693,4.4230769230769225,1.294871794871795,1.2435897435897436,1.0384615384615383,2.6538461538461537,2016-17,regular season
Jimmy Butler,CHI,76,2809,5.4868421052631575,12.61842105263158,3.842105263157895,1.6447368421052633,1.5131578947368418,1.0526315789473684,1.2763157894736843,0.6578947368421053,0.986842105263158,2016-17,regular season
Harrison Barnes,DAL,79,2804,1.4683544303797469,4.075949367088608,0.3291139240506329,1.139240506329114,0.13924050632911392,0.06329113924050632,0.12658227848101267,0.26582278481012656,0.8734177215189873,2016-17,regular season
Russell Westbrook,OKC,81,2802,10.370370370370368,23.28395061728395,7.827160493827161,2.54320987654321,5.814814814814816,1.1975308641975309,0.8148148148148148,0.9382716049382716,1.6049382716049383,2016-17,regular season
CJ McCollum,POR,80,2796,3.5625,8.65,2.0375,1.525,1.175,0.3875,0.475,0.45,1.075,2016-17,regular season
LeBron James,CLE,74,2795,8.72972972972973,22.175675675675677,4.013513513513513,4.716216216216216,2.689189189189189,0.5405405405405406,0.7837837837837838,2.1756756756756763,2.5405405405405403,2016-17,regular season
Trevor Ariza,HOU,80,2773,2.1875,5.325,1.2375,0.95,0.8625,0.25,0.125,0.35,0.6,2016-17,regular season
