Name,TeamAbbreviation,GamesPlayed,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtsMade,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage,season,season_type
Andrew Wiggins,MIN,82,3048,6036,23.57317073170732,7.390243902439026,15.621951219512196,0.4730679156908666,1.2560975609756098,3.524390243902439,0.356401384083045,0.3614035087719297,5.024390243902438,6.121951219512195,8.658536585365852,2.8536585365853657,0.9146341463414634,0.4141914191419142,0.4335060449050087,0.7572815533980582,0.1840764331210191,0.4937515006385696,0.4843949044585987,0.5325068870523416,0.6585365853658537,1.2195121951219512,0.078064012490242,0.012195121951219513,0.0034602076124567475,28.998548621190128,2016-17,regular season
Karl-Anthony Towns,MIN,82,3030,5964,25.13414634146341,8.548780487804878,14.69512195121951,0.5817427385892117,1.2317073170731707,3.3536585365853657,0.3672727272727273,0.3713235294117647,4.341463414634147,10.195121951219512,6.902439024390245,3.5487804878048776,0.14634146341463414,0.5962910128388017,0.6932006633499169,0.9603960396039604,0.1858108108108108,0.5275195460704607,0.5760135135135135,0.6178057553956835,2.3902439024390243,1.1097560975609757,0.07551867219917012,0.0,0.0,27.480580389857828,2016-17,regular season
James Harden,HOU,81,2947,6147,29.086419753086425,5.08641975308642,9.592592592592592,0.5302445302445302,3.2345679012345685,9.333333333333334,0.34656084656084657,0.3488681757656458,9.209876543209877,0.9629629629629628,9.209876543209877,3.0740740740740735,6.62962962962963,0.09466019417475728,0.09798994974874373,0.31679389312977096,0.4931506849315068,0.509546393442623,0.5251141552511416,0.6145018257694314,0.34567901234567894,0.925925925925926,0.09652509652509653,0.13580246913580246,0.01455026455026455,33.794893985287764,2016-17,regular season
Giannis Antetokounmpo,MIL,80,2845,5561,22.9,7.5875,13.4875,0.5625579240037072,0.6125,2.25,0.2722222222222222,0.28160919540229884,5.8875,6.375,8.8,1.3125,0.525,0.4200988467874794,0.4545454545454545,0.7142857142857143,0.14297061159650518,0.57161664,0.5405083399523432,0.5971316818774446,1.15,0.85,0.06302131603336422,0.025,0.011111111111111113,28.44952503622605,2016-17,regular season
John Wall,WAS,78,2836,5824,23.14102564102564,7.153846153846153,14.910256410256409,0.4797936371453138,1.1410256410256407,3.4871794871794872,0.3272058823529412,0.33208955223880604,5.410256410256411,2.0,12.307692307692307,2.1538461538461537,1.2692307692307692,0.13978494623655913,0.14285714285714285,0.6292134831460674,0.18954703832752612,0.5166491614255765,0.4818815331010453,0.5384844868735084,0.3076923076923077,1.0769230769230769,0.07222699914015478,0.02564102564102564,0.007352941176470587,30.2960927960928,2016-17,regular season
Jimmy Butler,CHI,76,2809,5588,23.894736842105264,6.302631578947367,13.223684210526313,0.4766169154228856,1.1973684210526316,3.263157894736842,0.36693548387096775,0.37448559670781895,7.697368421052633,4.605263157894737,8.0,2.2894736842105257,1.3026315789473684,0.3653444676409186,0.3871681415929204,0.6373626373626373,0.19792498004788509,0.4843720304975923,0.4912210694333599,0.5765079365079365,0.7105263157894737,0.7368421052631579,0.055721393034825865,0.02631578947368421,0.008064516129032258,26.475155279503106,2016-17,regular season
Harrison Barnes,DAL,79,2804,5372,19.215189873417717,6.594936708860758,13.39240506329114,0.4924385633270321,0.9873417721518988,2.8101265822784813,0.35135135135135137,0.35135135135135137,3.0632911392405062,5.7215189873417724,7.4683544303797476,2.8101265822784813,0.1518987341772152,0.43378119001919385,0.4466403162055336,0.9487179487179488,0.1734375,0.4679008991399531,0.4984375,0.5386799148332151,0.37974683544303794,0.620253164556962,0.046313799621928164,0.0,0.0,25.656772432616854,2016-17,regular season
Russell Westbrook,OKC,81,2802,5784,31.58024691358025,7.703703703703702,16.765432098765434,0.4594992636229749,2.469135802469136,7.197530864197531,0.3430531732418525,0.3436426116838488,8.765432098765434,2.098765432098765,13.308641975308642,2.592592592592593,4.814814814814816,0.1362179487179487,0.1419031719532554,0.35,0.3003606388459557,0.5154790613718412,0.4760432766615147,0.5477516059957174,0.6172839506172839,1.1111111111111112,0.0662739322533137,0.012345679012345678,0.0017152658662092624,40.76888690210103,2016-17,regular season
CJ McCollum,POR,80,2796,5618,22.9625,6.3375,12.525,0.5059880239520959,2.3125,5.4875,0.4214123006833713,0.4272517321016167,3.35,3.3,9.375,5.1375,1.8,0.2603550295857988,0.2634730538922156,0.7405405405405405,0.3046495489243581,0.4795725941422594,0.5444136016655101,0.5816972767574414,0.15,0.875,0.06986027944111776,0.075,0.013667425968109341,27.43488555643252,2016-17,regular season
LeBron James,CLE,74,2795,5558,26.40540540540541,8.27027027027027,13.54054054054054,0.6107784431137725,1.6756756756756757,4.621621621621622,0.3625730994152047,0.3636363636363637,4.837837837837838,5.864864864864866,10.675675675675675,2.4729729729729732,2.5540540540540544,0.3545751633986928,0.3703071672354949,0.4919354838709678,0.2544642857142857,0.556844560357675,0.59375,0.621501272264631,0.7027027027027027,0.8108108108108109,0.05988023952095808,0.0,0.0,29.738770309015607,2016-17,regular season
Trevor Ariza,HOU,80,2773,5779,11.7,1.6875,3.0375,0.5555555555555556,2.3875,6.9375,0.3441441441441441,0.3460144927536232,1.1625,2.075,1.3,6.8625,0.3,0.6148148148148148,0.664,0.9581151832460733,0.6954887218045113,0.5715148802017654,0.5281954887218046,0.5480093676814989,0.25,0.25,0.0823045267489712,0.0,0.0,14.198098742716956,2016-17,regular season
Rudy Gobert,UTA,81,2744,5173,14.037037037037035,5.098765432098767,7.703703703703702,0.6618589743589743,0.0,0.012345679012345678,0.0,0.0,3.8395061728395055,7.5555555555555545,2.6419753086419755,0.0,0.0,0.7409200968523002,0.9329268292682928,0.0,0.0016,0.6640224358974359,0.6608,0.6775923718712753,2.098765432098765,0.6913580246913579,0.08974358974358974,0.0,0.0,16.889804325437687,2016-17,regular season
