slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
abrinal01,Álex Abrines,SHOOTING GUARD,25,OKLAHOMA CITY THUNDER,31,2,588,56,157,41,127,12,13,5,43,20,17,6,14,53
acyqu01,Quincy Acy,POWER FORWARD,28,PHOENIX SUNS,10,0,123,4,18,2,15,7,10,3,22,8,1,4,4,24
adamsja01,Jaylen Adams,POINT GUARD,22,ATLANTA HAWKS,34,1,428,38,110,25,74,7,9,11,49,65,14,5,28,45
adamsst01,Steven Adams,CENTER,25,OKLAHOMA CITY THUNDER,80,80,2669,481,809,0,2,146,292,391,369,124,117,76,135,204
adebaba01,Bam Adebayo,CENTER,21,MIAMI HEAT,82,28,1913,280,486,3,15,166,226,165,432,184,71,65,121,203
adelde01,Deng Adel,SMALL FORWARD,21,CLEVELAND CAVALIERS,19,3,194,11,36,6,23,4,4,3,16,5,1,4,6,13
akoonde01,DeVaughn Akoon-Purcell,SHOOTING GUARD,25,DENVER NUGGETS,7,0,22,3,10,0,4,1,2,1,3,6,2,0,2,4
aldrila01,LaMarcus Aldridge,CENTER,33,SAN ANTONIO SPURS,81,81,2687,684,1319,10,42,349,412,251,493,194,43,107,144,179
alkinra01,Rawle Alkins,SHOOTING GUARD,21,CHICAGO BULLS,10,1,120,13,39,3,12,8,12,11,15,13,1,0,8,7
allengr01,Grayson Allen,SHOOTING GUARD,23,UTAH JAZZ,38,2,416,67,178,32,99,45,60,3,20,25,6,6,33,47
allenja01,Jarrett Allen,CENTER,20,BROOKLYN NETS,80,80,2096,335,568,6,45,197,278,191,481,110,43,120,103,184
allenka01,Kadeem Allen,SHOOTING GUARD,26,NEW YORK KNICKS,19,1,416,65,141,17,36,42,54,8,43,76,16,4,26,46
aminual01,Al-Farouq Aminu,POWER FORWARD,28,PORTLAND TRAIL BLAZERS,81,81,2292,257,593,96,280,150,173,112,498,104,68,33,72,143
anderju01,Justin Anderson,SMALL FORWARD,25,ATLANTA HAWKS,48,4,463,64,157,24,77,26,35,24,60,23,22,13,23,48
anderky01,Kyle Anderson,SMALL FORWARD,25,MEMPHIS GRIZZLIES,43,40,1281,150,276,9,34,37,64,48,203,128,54,37,58,112
anderry01,Ryan Anderson,POWER FORWARD,30,PHOENIX SUNS,15,8,278,19,60,7,34,11,14,14,31,17,3,1,12,23
anderry01,Ryan Anderson,POWER FORWARD,30,MIAMI HEAT,10,0,44,2,9,2,6,1,2,4,5,2,1,0,2,2
anigbik01,Ike Anigbogu,CENTER,20,INDIANA PACERS,3,0,6,0,3,0,0,0,0,1,2,1,0,1,1,0
antetgi01,Giannis Antetokounmpo,POWER FORWARD,24,MILWAUKEE BUCKS,72,72,2358,721,1247,52,203,500,686,159,739,424,92,110,268,232
antetko01,Kostas Antetokounmpo,POWER FORWARD,21,DALLAS MAVERICKS,2,0,11,0,3,0,0,2,4,0,1,0,2,0,1,0
anthoca01,Carmelo Anthony,POWER FORWARD,34,HOUSTON ROCKETS,10,2,294,49,121,21,64,15,22,9,45,5,4,7,8,32
anunoog01,OG Anunoby,SMALL FORWARD,21,TORONTO RAPTORS,67,6,1352,183,404,67,202,36,62,58,139,47,46,22,55,140
arcidry01,Ryan Arcidiacono,POINT GUARD,24,CHICAGO BULLS,81,32,1961,187,418,81,217,89,102,27,192,269,65,4,63,171
arizatr01,Trevor Ariza,SMALL FORWARD,33,PHOENIX SUNS,26,26,884,86,227,50,139,36,43,16,129,87,38,8,39,44
arizatr01,Trevor Ariza,SMALL FORWARD,33,WASHINGTON WIZARDS,43,43,1465,208,509,95,295,94,121,34,192,165,53,13,67,86
augusdj01,D.J. Augustin,POINT GUARD,31,ORLANDO MAGIC,81,81,2269,318,677,131,311,181,209,41,162,426,52,4,128,115
aytonde01,Deandre Ayton,CENTER,20,PHOENIX SUNS,71,70,2183,509,870,0,4,141,189,223,506,125,61,67,126,209
bacondw01,Dwayne Bacon,SHOOTING GUARD,23,CHARLOTTE HORNETS,43,13,759,122,257,38,87,34,46,8,81,47,12,5,18,72
baglema01,Marvin Bagley,POWER FORWARD,19,SACRAMENTO KINGS,62,4,1567,356,706,30,96,181,262,162,309,62,33,59,98,120
bakerro01,Ron Baker,SHOOTING GUARD,25,NEW YORK KNICKS,11,0,107,4,16,1,9,5,6,1,6,13,5,0,3,16
bakerro01,Ron Baker,SHOOTING GUARD,25,WASHINGTON WIZARDS,4,0,45,0,4,0,4,0,0,0,4,2,1,1,2,2
baldwwa01,Wade Baldwin,POINT GUARD,22,PORTLAND TRAIL BLAZERS,16,0,94,10,33,2,9,8,11,2,13,12,1,2,14,11
balllo01,Lonzo Ball,POINT GUARD,21,LOS ANGELES LAKERS,47,45,1423,185,456,75,228,20,48,54,197,255,69,19,103,114
bambamo01,Mo Bamba,CENTER,20,ORLANDO MAGIC,47,1,766,117,243,21,70,37,63,64,169,39,13,64,43,102
bareajo01,J.J. Barea,POINT GUARD,34,DALLAS MAVERICKS,38,0,752,161,385,38,128,55,78,13,82,211,22,1,72,50
barneha02,Harrison Barnes,POWER FORWARD,26,DALLAS MAVERICKS,49,49,1584,290,717,121,311,165,198,36,171,62,33,11,68,79
barneha02,Harrison Barnes,SMALL FORWARD,26,SACRAMENTO KINGS,28,28,949,141,310,53,130,64,80,21,133,53,17,2,30,43
bartowi01,Will Barton,SHOOTING GUARD,28,DENVER NUGGETS,43,38,1189,185,460,67,196,57,74,32,167,124,18,22,65,82
bateske01,Keita Bates-Diop,SMALL FORWARD,23,MINNESOTA TIMBERWOLVES,30,3,503,60,142,13,52,18,28,16,67,17,18,14,14,29
batumni01,Nicolas Batum,SMALL FORWARD,30,CHARLOTTE HORNETS,75,72,2354,253,562,116,298,77,89,71,319,247,71,43,117,140
bayleje01,Jerryd Bayless,POINT GUARD,30,MINNESOTA TIMBERWOLVES,34,6,657,82,230,29,98,16,28,11,51,119,18,2,32,56
baynear01,Aron Baynes,CENTER,32,BOSTON CELTICS,51,18,821,105,223,21,61,53,62,88,152,57,12,34,40,125
bazemke01,Kent Bazemore,SHOOTING GUARD,29,ATLANTA HAWKS,67,35,1643,278,691,96,300,127,175,37,224,152,89,42,121,170
bealbr01,Bradley Beal,SHOOTING GUARD,25,WASHINGTON WIZARDS,82,82,3028,764,1609,209,596,362,448,89,322,448,121,58,224,226
beaslma01,Malik Beasley,SHOOTING GUARD,22,DENVER NUGGETS,81,18,1879,349,737,163,405,56,66,35,165,97,55,10,55,116
beaslmi01,Michael Beasley,POWER FORWARD,30,LOS ANGELES LAKERS,26,2,277,75,153,3,17,28,39,13,47,25,9,10,27,42
belinma01,Marco Belinelli,SHOOTING GUARD,32,SAN ANTONIO SPURS,79,1,1815,285,690,147,395,112,124,16,182,132,35,8,72,121
belljo01,Jordan Bell,CENTER,24,GOLDEN STATE WARRIORS,68,3,788,99,192,0,2,25,41,55,129,76,20,51,42,80
bembrde01,DeAndre' Bembry,SHOOTING GUARD,24,ATLANTA HAWKS,82,15,1931,275,616,50,173,87,136,54,304,202,105,41,142,190
bendedr01,Dragan Bender,POWER FORWARD,21,PHOENIX SUNS,46,27,826,88,197,22,101,32,54,34,149,56,18,22,37,90
bertada02,Dairis Bertāns,SHOOTING GUARD,29,NEW ORLEANS PELICANS,12,0,167,12,47,10,34,0,0,2,7,10,1,0,2,7
bertada01,Dāvis Bertāns,POWER FORWARD,26,SAN ANTONIO SPURS,76,12,1632,204,453,145,338,53,60,23,241,100,35,33,43,133
beverpa01,Patrick Beverley,POINT GUARD,30,LOS ANGELES CLIPPERS,78,49,2137,194,477,112,282,96,123,76,312,300,67,43,85,265
birchkh01,Khem Birch,CENTER,26,ORLANDO MAGIC,50,1,643,91,151,0,1,58,83,79,111,38,18,29,20,72
biyombi01,Bismack Biyombo,CENTER,26,CHARLOTTE HORNETS,54,32,783,89,156,0,0,58,91,81,166,33,11,41,34,103
bjeline01,Nemanja Bjelica,POWER FORWARD,30,SACRAMENTO KINGS,77,70,1788,284,593,103,257,70,92,125,319,147,54,56,82,197
blakean01,Antonio Blakeney,SHOOTING GUARD,22,CHICAGO BULLS,57,3,829,166,396,36,91,50,76,7,99,42,12,9,35,41
bledser01,Eric Bledsoe,POINT GUARD,29,MILWAUKEE BUCKS,78,78,2272,470,971,124,377,177,236,82,280,430,116,29,165,156
blossja01,Jaron Blossomgame,SMALL FORWARD,25,CLEVELAND CAVALIERS,27,4,439,47,106,10,39,10,13,26,72,13,7,8,11,20
bogdabo01,Bogdan Bogdanović,SHOOTING GUARD,26,SACRAMENTO KINGS,70,17,1947,361,863,134,372,134,162,40,203,267,72,15,117,142
bogdabo02,Bojan Bogdanović,SMALL FORWARD,29,INDIANA PACERS,81,81,2573,522,1051,164,386,246,305,33,300,161,69,1,134,138
bogutan01,Andrew Bogut,CENTER,34,GOLDEN STATE WARRIORS,11,5,134,18,36,0,0,3,3,12,43,11,3,8,8,22
boldejo01,Jonah Bolden,POWER FORWARD,23,PHILADELPHIA 76ERS,44,10,639,80,162,34,96,13,27,47,118,40,17,39,36,99
bongais01,Isaac Bonga,POINT GUARD,19,LOS ANGELES LAKERS,22,0,120,5,33,0,8,9,15,9,16,15,9,4,6,9
bookede01,Devin Booker,SHOOTING GUARD,22,PHOENIX SUNS,64,64,2242,586,1255,135,414,393,454,39,226,433,56,13,264,200
bouchch01,Chris Boucher,POWER FORWARD,26,TORONTO RAPTORS,28,0,163,34,76,12,37,13,15,16,40,2,6,24,7,31
bradlav01,Avery Bradley,SHOOTING GUARD,28,LOS ANGELES CLIPPERS,49,49,1463,161,420,58,172,20,25,35,96,96,27,16,61,133
bradlav01,Avery Bradley,SHOOTING GUARD,28,MEMPHIS GRIZZLIES,14,14,442,87,188,28,73,23,25,8,36,56,14,0,28,34
bradlto01,Tony Bradley,CENTER,21,UTAH JAZZ,3,0,36,8,16,0,0,1,2,9,6,1,2,2,3,6
breweco01,Corey Brewer,SMALL FORWARD,32,PHILADELPHIA 76ERS,7,3,140,20,49,4,14,9,13,4,13,10,12,2,8,16
breweco01,Corey Brewer,SMALL FORWARD,32,SACRAMENTO KINGS,24,0,352,33,74,10,30,22,30,22,37,29,20,5,11,47
bridgmi01,Mikal Bridges,SMALL FORWARD,22,PHOENIX SUNS,82,56,2417,242,563,105,313,95,118,56,208,173,129,38,70,201
bridgmi02,Miles Bridges,SMALL FORWARD,20,CHARLOTTE HORNETS,80,25,1696,237,511,65,200,58,77,67,256,95,55,49,50,111
briscis01,Isaiah Briscoe,POINT GUARD,22,ORLANDO MAGIC,39,0,559,55,138,11,34,15,26,5,69,87,11,2,31,66
broekry01,Ryan Broekhoff,SHOOTING GUARD,28,DALLAS MAVERICKS,42,0,453,57,126,38,93,15,19,8,55,22,6,4,16,35
brogdma01,Malcolm Brogdon,SHOOTING GUARD,26,MILWAUKEE BUCKS,64,64,1832,378,748,104,244,141,152,65,223,205,46,13,91,102
brookdi01,Dillon Brooks,SMALL FORWARD,23,MEMPHIS GRIZZLIES,18,0,330,49,122,15,40,22,30,9,22,16,10,4,19,50
brookma01,MarShon Brooks,SHOOTING GUARD,30,MEMPHIS GRIZZLIES,29,0,387,76,169,15,54,23,33,12,33,25,9,4,21,33
brownbr01,Bruce Brown,SHOOTING GUARD,22,DETROIT PISTONS,74,56,1449,125,314,24,93,45,60,48,137,91,40,36,46,178
brownja02,Jaylen Brown,SHOOTING GUARD,22,BOSTON CELTICS,74,25,1913,368,792,95,276,133,202,65,248,100,69,32,99,186
brownlo01,Lorenzo Brown,POINT GUARD,28,TORONTO RAPTORS,26,0,212,23,71,6,28,3,3,5,26,28,12,5,16,22
brownst02,Sterling Brown,SHOOTING GUARD,23,MILWAUKEE BUCKS,58,7,1034,145,312,53,147,29,42,29,155,84,25,8,46,88
