pct,ppg,opp_ppg,diff
0.744,102.1,95.6,6.5
0.72,102.8,95.3,7.5
0.695,101.7,97,4.7
0.671,102,99.3,2.7
0.659,110.2,105.3,4.9
0.646,106.5,102.4,4.1
0.646,101.7,97,4.7
0.646,104.2,98.9,5.3
0.61,99.2,95.6,3.6
0.61,98.1,94.8,3.3
0.61,101.4,96.3,5.1
0.61,101.5,98,3.5
0.573,96.5,94.2,2.3
0.817,110,99.9,10.1
0.805,102.9,95,7.9
0.732,105.7,96.5,9.2
0.758,96.3,88.2,8.1
0.758,103.7,96.5,7.2
0.712,103.1,96.9,6.2
0.817,115.9,104.3,11.6
0.756,105.4,97.6,7.8
0.72,106.2,99.8,6.4
0.695,107.9,101,6.9
0.561,97.7,96,1.7
0.537,95.3,93.8,1.5
0.512,102.4,102.7,-0.3
0.5,97.5,99.1,-1.6
0.488,104.1,105.9,-1.8
0.488,102.5,104,-1.5
0.451,100.2,102.7,-2.5
0.39,100.8,103.8,-3
0.354,102.1,105.9,-3.8
0.354,95.7,102.1,-6.4
0.329,94,99.1,-5.1
0.329,97.7,101.6,-3.9
0.317,108.8,112.4,-3.6
0.317,96.2,101,-4.8
0.305,100,104.4,-4.4
0.183,98.2,107.8,-9.6
0.732,102.5,97.1,5.4
0.683,103.9,100.5,3.4
0.683,106.7,100.1,6.6
0.671,98.3,95.1,3.2
0.671,103.2,97,6.2
0.646,103.1,98.7,4.4
0.622,102.8,98.6,4.2
0.61,100.8,97.8,3
0.61,105.2,102.3,2.9
0.598,104,100.9,3.1
0.561,98.5,97.8,0.7
0.549,99.4,98.6,0.8
0.549,104,101.8,2.2
0.5,97.8,97.4,0.4
0.707,103,96.6,6.4
0.695,106.1,101.1,5
0.683,101.1,94.6,6.5
0.683,93.4,89.3,4.1
0.659,100,95.7,4.3
0.605,94.7,90.7,4
0.598,96.9,95.1,1.8
0.573,101.2,100.3,0.9
0.549,93.2,92.9,0.3
0.549,102.2,101,1.2
0.549,106,102.5,3.5
0.537,98,97.5,0.5
0.524,98,98.1,-0.1
0.506,96.5,96.7,-0.2
0.5,101.1,101.7,-0.6
0.463,98.9,100.4,-1.5
0.89,114.9,104.1,10.8
0.697,98.5,92.5,6
0.636,97.7,94.4,3.3
0.621,97.3,95.9,1.4
0.621,95,93,2
0.606,97.5,95,2.5
0.606,96.6,93.2,3.4
0.591,91.8,89.3,2.5
0.576,104.1,101.2,2.9
0.561,94.2,93.4,0.8
0.545,97.8,94.7,3.1
0.545,95.8,94.8,1
0.545,99.7,99,0.7
0.53,93.6,89.4,4.2
0.515,98.1,97.9,0.2
0.744,105.3,98.1,7.2
0.671,115.3,109.6,5.7
0.646,108,105.4,2.6
0.622,110.3,107.2,3.1
0.622,100.7,96.8,3.9
0.622,106.9,102.6,4.3
0.622,108.7,104.4,4.3
0.598,109.2,107.4,1.8
0.573,106.6,105.8,0.8
0.524,103.2,104,-0.8
0.524,100.5,100,0.5
0.512,103.6,103.8,-0.2
0.512,105.1,105.3,-0.2
0.5,107.9,108.5,-0.6
0.5,102.9,102.4,0.5
0.5,103.2,102.1,1.1
0.683,96.7,92.3,4.4
0.659,102.2,97.4,4.8
0.659,107.7,103.1,4.6
0.659,106.7,102.8,3.9
0.622,104.3,99.5,4.8
0.61,96.1,94.6,1.5
0.598,104.8,102.4,2.4
0.585,101.3,98,3.3
0.585,93.7,91.8,1.9
0.585,105.2,102.6,2.6
0.537,100.7,99.4,1.3
0.537,98.5,99.5,-1
0.524,96.9,97.1,-0.2
0.488,106.9,104.3,2.6
0.463,101,101.5,-0.5
0.451,98.6,99.4,-0.8
0.146,92.4,101.5,-9.1
0.488,101.4,101.2,0.2
0.476,102.4,103.3,-0.9
0.463,98,100.9,-2.9
0.463,97.3,97,0.3
0.463,95.1,94.9,0.2
0.451,94.7,97.3,-2.6
0.402,94.2,97.3,-3.1
0.39,98.5,99.5,-1
0.366,101.5,105,-3.5
0.354,101.3,105,-3.7
0.305,95.7,101.4,-5.7
0.256,98.5,105.3,-6.8
0.22,92,101,-9
0.207,91.9,101.2,-9.3
0.415,93.2,96.5,-3.3
0.415,97.2,98.7,-1.5
0.402,97.5,100.7,-3.2
0.378,95.7,98.1,-2.4
0.354,94.9,98.8,-3.9
0.354,93.2,95.8,-2.6
0.341,100.2,105.1,-4.9
0.329,94.1,97.9,-3.8
0.305,95.2,101.6,-6.4
0.293,96.5,101.2,-4.7
0.256,93.4,102.7,-9.3
0.244,94.1,101.1,-7
0.817,103.5,92.9,10.6
0.695,104.3,98.3,6
0.683,102.7,98.2,4.5
0.671,110.2,102.9,7.3
0.646,104.5,100.2,4.3
0.585,100,98.4,1.6
0.585,102.8,99.2,3.6
0.585,105.7,102.5,3.2
0.585,103.4,100.7,2.7
0.549,102.2,100.5,1.7
0.537,105.1,104.3,0.8
0.537,102,101.4,0.6
0.512,102.3,102.6,-0.3
0.512,99.1,101.3,-2.2
0.512,101.6,103.1,-1.5
0.5,106.5,106.4,0.1
0.5,98.4,98.6,-0.2
0.47,99,98.7,0.3
0.424,97.2,97.8,-0.6
0.394,97.9,100.1,-2.2
0.379,90.9,95.7,-4.8
0.348,90.7,94,-3.3
0.348,97.8,101.2,-3.4
0.333,93.1,99.1,-6
0.333,98.8,104.4,-5.6
0.318,93,100.2,-7.2
0.318,89.6,93.4,-3.8
0.303,93.6,98.4,-4.8
0.106,87,100.9,-13.9
0.488,111.7,111.2,0.5
0.451,101.3,102.5,-1.2
0.439,104.9,104.7,0.2
0.415,104.3,106.4,-2.1
0.402,97.9,100.8,-2.9
0.39,102.8,106.7,-3.9
0.378,104.3,108,-3.7
0.378,105.6,106.7,-1.1
0.354,101.1,107.6,-6.5
0.341,102.4,108.1,-5.7
0.317,104.6,111.5,-6.9
0.293,107.7,113.3,-5.6
0.244,105.8,112.5,-6.7
0.793,112.4,103.9,8.5
0.72,111.7,103.9,7.8
0.439,104.4,106.5,-2.1
0.415,99.7,102.4,-2.7
0.402,98.2,101.5,-3.3
0.354,101,104.7,-3.7
0.341,100.5,103.4,-2.9
0.329,103,109.2,-6.2
0.305,96.2,100.7,-4.5
0.305,95,102.2,-7.2
0.28,96.5,102,-5.5
0.232,99.5,109.9,-10.4
0.183,95.5,103.7,-8.2
0.195,97.8,106.5,-8.7
0.5,104.1,104.6,-0.5
0.488,97.7,95.9,1.8
0.427,102.1,103.7,-1.6
0.402,106.6,109.1,-2.5
0.402,101.9,105,-3.1
0.402,99,103.2,-4.2
0.39,98.4,101.1,-2.7
0.366,102.7,106.5,-3.8
0.354,102.4,106,-3.6
0.28,100.9,107.5,-6.6
0.256,98.6,106,-7.4
0.207,97.3,106.9,-9.6
0.122,97.4,107.6,-10.2
0.756,98.6,91.3,7.3
0.744,103.7,98,5.7
0.707,113.5,107.5,6
0.671,104,100.4,3.6
0.634,109.8,105.3,4.5
0.61,110.9,109.9,1
0.598,105.6,103,2.6
0.585,107.9,104.4,3.5
0.585,104.1,99.8,4.3
0.585,105.6,104.2,1.4
0.585,111.7,110.4,1.3
0.573,102.7,99.8,2.9
0.573,109.5,107.3,2.2
0.561,110,108.5,1.5
0.537,103.4,102.9,0.5
0.537,106.5,106.8,-0.3
0.524,106.6,106,0.6
0.732,118.1,109.3,8.8
0.707,102.1,94.6,7.5
0.695,101.5,95.4,6.1
0.695,100.2,96,4.2
0.683,96.5,91.1,5.4
0.671,104.8,101,3.8
0.634,99.2,93.7,5.5
0.61,107.5,102.7,4.8
0.585,96.3,94.8,1.5
0.561,94.9,94,0.9
0.561,99.9,97.6,2.3
0.537,95,95.8,-0.8
0.524,105.9,103.7,2.2
0.512,106.5,105.7,0.8
0.5,99,97.5,1.5
0.488,105,105.9,-0.9
0.476,99.4,101.3,-1.9
0.512,109,109,0
0.476,103.8,103.9,-0.1
0.439,108.2,108,0.2
