Name,GamesPlayed,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
BOS,66,23.59090909090909,52.18181818181818,18.59090909090909,5.0,8.318181818181818,2.333333333333333,7.9393939393939394,2.090909090909091,2.9090909090909087,2011-12,regular season
CLE,66,19.818181818181817,45.21212121212121,14.242424242424242,5.575757575757576,8.409090909090908,2.4545454545454546,3.378787878787879,1.681818181818182,3.8939393939393936,2011-12,regular season
MIL,66,23.484848484848484,52.36363636363637,18.09090909090909,5.393939393939394,10.090909090909092,2.4393939393939394,5.5606060606060606,1.6666666666666667,3.727272727272727,2011-12,regular season
IND,66,18.60606060606061,42.28787878787879,13.530303030303033,5.075757575757576,6.606060606060606,2.515151515151515,4.409090909090909,1.5909090909090908,3.484848484848485,2011-12,regular season
PHI,66,22.01515151515152,48.25757575757576,17.78787878787879,4.227272727272728,7.242424242424242,4.121212121212121,6.424242424242424,0.9545454545454546,3.272727272727273,2011-12,regular season
PHX,66,22.51515151515152,50.48484848484848,17.060606060606062,5.454545454545454,8.984848484848484,2.9393939393939394,5.136363636363637,1.5909090909090908,3.863636363636364,2011-12,regular season
WAS,66,19.12121212121212,42.71212121212121,14.651515151515152,4.46969696969697,8.590909090909092,1.9242424242424243,4.136363636363637,1.893939393939394,2.575757575757576,2011-12,regular season
DET,66,18.666666666666668,41.40909090909091,14.590909090909092,4.075757575757576,7.606060606060606,2.272727272727273,4.712121212121212,1.2575757575757576,2.8181818181818183,2011-12,regular season
ATL,66,22.439393939393934,51.6969696969697,15.62121212121212,6.8181818181818175,8.681818181818182,1.7424242424242424,5.196969696969697,2.7575757575757582,4.0606060606060606,2011-12,regular season
NOH,66,20.727272727272727,44.72727272727273,17.454545454545453,3.272727272727273,7.863636363636362,2.9242424242424243,6.666666666666668,1.1212121212121209,2.1515151515151514,2011-12,regular season
CHI,66,23.13636363636364,51.39393939393939,18.01515151515152,5.121212121212121,9.151515151515152,2.2575757575757582,6.606060606060606,1.6212121212121209,3.5,2011-12,regular season
DAL,66,20.90909090909091,48.06060606060606,14.666666666666664,6.242424242424242,7.590909090909091,2.8181818181818183,4.257575757575758,1.6666666666666667,4.575757575757576,2011-12,regular season
DEN,66,23.95454545454545,53.96969696969697,17.893939393939394,6.0606060606060606,13.363636363636365,1.9848484848484849,2.5454545454545454,2.2424242424242418,3.8181818181818175,2011-12,regular season
GSW,66,22.272727272727273,51.45454545454545,15.363636363636365,6.909090909090909,8.090909090909092,2.015151515151515,5.257575757575758,2.5454545454545454,4.363636363636363,2011-12,regular season
HOU,66,21.272727272727273,48.45454545454545,15.363636363636365,5.909090909090909,7.0606060606060606,2.7424242424242418,5.5606060606060606,2.515151515151515,3.3939393939393936,2011-12,regular season
LAC,66,20.984848484848484,48.37878787878788,14.575757575757574,6.409090909090909,8.636363636363637,1.4090909090909092,4.53030303030303,2.196969696969697,4.212121212121212,2011-12,regular season
LAL,66,22.5,49.5,18.0,4.5,9.590909090909092,3.287878787878788,5.121212121212121,1.5454545454545454,2.9545454545454546,2011-12,regular season
MIA,66,19.954545454545453,44.62121212121213,15.242424242424242,4.712121212121212,8.515151515151516,2.196969696969697,4.53030303030303,1.8787878787878791,2.833333333333333,2011-12,regular season
MIN,66,19.545454545454547,45.12121212121213,13.515151515151516,6.03030303030303,8.333333333333334,1.681818181818182,3.5,1.893939393939394,4.136363636363637,2011-12,regular season
NJN,66,19.863636363636363,45.78787878787879,13.803030303030305,6.0606060606060606,6.53030303030303,2.4242424242424243,4.848484848484849,2.0,4.0606060606060606,2011-12,regular season
NYK,66,20.12121212121212,47.01515151515152,13.348484848484848,6.7727272727272725,9.454545454545457,0.8939393939393939,3.0,1.9545454545454544,4.818181818181818,2011-12,regular season
ORL,66,20.01515151515152,48.51515151515152,11.530303030303033,8.484848484848484,7.606060606060606,1.5606060606060606,2.363636363636364,2.4545454545454546,6.03030303030303,2011-12,regular season
POR,66,20.439393939393934,47.24242424242424,14.075757575757574,6.363636363636362,7.696969696969697,1.7424242424242424,4.636363636363637,2.5,3.863636363636364,2011-12,regular season
SAC,66,19.25757575757576,43.39393939393939,14.37878787878788,4.878787878787879,9.242424242424242,1.893939393939394,3.2424242424242418,1.8030303030303032,3.075757575757576,2011-12,regular season
SAS,66,23.15151515151515,53.60606060606061,15.848484848484848,7.303030303030303,9.393939393939394,2.6515151515151514,3.803030303030303,2.8181818181818183,4.4848484848484835,2011-12,regular season
OKC,66,18.545454545454547,43.01515151515152,12.62121212121212,5.924242424242424,7.378787878787879,1.5757575757575757,3.6666666666666665,1.5606060606060606,4.363636363636363,2011-12,regular season
TOR,66,20.939393939393934,46.62121212121213,16.196969696969695,4.742424242424242,8.227272727272727,2.6515151515151514,5.318181818181818,1.2727272727272727,3.4696969696969697,2011-12,regular season
UTA,66,21.803030303030305,47.36363636363637,18.045454545454547,3.7575757575757582,9.803030303030305,3.1515151515151514,5.090909090909091,0.8333333333333334,2.9242424242424243,2011-12,regular season
MEM,66,19.545454545454547,42.66666666666666,15.969696969696967,3.575757575757576,8.227272727272727,3.1515151515151514,4.590909090909091,1.0454545454545454,2.5303030303030303,2011-12,regular season
CHA,66,20.09090909090909,43.1969696969697,17.075757575757574,3.015151515151515,7.833333333333332,2.0,7.242424242424242,0.696969696969697,2.3181818181818183,2011-12,regular season
