season_name,team_name,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff
2009-10,CLE,61,21,.744,35-6,26-15,12-4,38-14,102.1,95.6,+6.5
2009-10,ORL,59,23,.720,34-7,25-16,10-6,39-13,102.8,95.3,+7.5
2009-10,LAL,57,25,.695,34-7,23-18,13-3,35-17,101.7,97.0,+4.7
2009-10,DAL,55,27,.671,28-13,27-14,10-6,33-19,102.0,99.3,+2.7
2009-10,PHX,54,28,.659,32-9,22-19,12-4,35-17,110.2,105.3,+4.9
2009-10,DEN,53,29,.646,34-7,19-22,12-4,34-18,106.5,102.4,+4.1
2009-10,ATL,53,29,.646,34-7,19-22,8-8,32-20,101.7,97.0,+4.7
2009-10,UTAH,53,29,.646,32-9,21-20,8-8,31-21,104.2,98.9,+5.3
2009-10,BOS,50,32,.610,24-17,26-15,13-3,33-19,99.2,95.6,+3.6
2009-10,POR,50,32,.610,26-15,24-17,8-8,33-19,98.1,94.8,+3.3
2009-10,SA,50,32,.610,29-12,21-20,9-7,31-21,101.4,96.3,+5.1
2009-10,OKC,50,32,.610,27-14,23-18,9-7,28-24,101.5,98.0,+3.5
2009-10,MIA,47,35,.573,24-17,23-18,9-7,32-20,96.5,94.2,+2.3
2014-15,GS,67,15,.817,39-2,28-13,13-3,42-10,110.0,99.9,+10.1
2012-13,MIA,66,16,.805,37-4,29-12,15-1,41-11,102.9,95.0,+7.9
2012-13,OKC,60,22,.732,34-7,26-15,10-6,39-13,105.7,96.5,+9.2
2011-12,CHI,50,16,.758,26-7,24-9,13-1,38-10,96.3,88.2,+8.1
2011-12,SA,50,16,.758,28-5,22-11,12-4,35-13,103.7,96.5,+7.2
2011-12,OKC,47,19,.712,26-7,21-12,10-3,34-14,103.1,96.9,+6.2
2016-17,GS,67,15,.817,36-5,31-10,14-2,42-10,115.9,104.3,+11.6
2013-14,SA,62,20,.756,32-9,30-11,12-4,38-14,105.4,97.6,+7.8
2013-14,OKC,59,23,.720,34-7,25-16,11-5,36-16,106.2,99.8,+6.4
2013-14,LAC,57,25,.695,34-7,23-18,12-4,36-16,107.9,101.0,+6.9
2009-10,MIL,46,36,.561,28-13,18-23,10-6,31-21,97.7,96.0,+1.7
2009-10,CHA,44,38,.537,31-10,13-28,10-6,27-25,95.3,93.8,+1.5
2009-10,HOU,42,40,.512,23-18,19-22,9-7,28-24,102.4,102.7,-0.3
2009-10,CHI,41,41,.500,24-17,17-24,10-6,28-24,97.5,99.1,-1.6
2009-10,TOR,40,42,.488,25-16,15-26,11-5,29-23,104.1,105.9,-1.8
2009-10,MEM,40,42,.488,23-18,17-24,5-11,22-30,102.5,104.0,-1.5
2009-10,NO,37,45,.451,24-17,13-28,7-9,26-26,100.2,102.7,-2.5
2009-10,IND,32,50,.390,23-18,9-32,6-10,23-29,100.8,103.8,-3.0
2009-10,NY,29,53,.354,18-23,11-30,6-10,20-32,102.1,105.9,-3.8
2009-10,LAC,29,53,.354,21-20,8-33,5-11,15-37,95.7,102.1,-6.4
2009-10,DET,27,55,.329,17-24,10-31,2-14,18-34,94.0,99.1,-5.1
2009-10,PHI,27,55,.329,12-29,15-26,7-9,14-38,97.7,101.6,-3.9
2009-10,GS,26,56,.317,18-23,8-33,5-11,15-37,108.8,112.4,-3.6
2009-10,WSH,26,56,.317,15-26,11-30,3-13,18-34,96.2,101.0,-4.8
2009-10,SAC,25,57,.305,18-23,7-34,5-11,16-36,100.0,104.4,-4.4
2009-10,MIN,15,67,.183,10-31,5-36,3-13,8-44,98.2,107.8,-9.6
2014-15,ATL,60,22,.732,35-6,25-16,12-4,38-14,102.5,97.1,+5.4
2014-15,HOU,56,26,.683,30-11,26-15,8-8,33-19,103.9,100.5,+3.4
2014-15,LAC,56,26,.683,30-11,26-15,12-4,37-15,106.7,100.1,+6.6
2014-15,MEM,55,27,.671,31-10,24-17,9-7,35-17,98.3,95.1,+3.2
2014-15,SA,55,27,.671,33-8,22-19,8-8,32-20,103.2,97.0,+6.2
2014-15,CLE,53,29,.646,31-10,22-19,11-5,35-17,103.1,98.7,+4.4
2014-15,POR,51,31,.622,32-9,19-22,11-5,31-21,102.8,98.6,+4.2
2014-15,CHI,50,32,.610,27-14,23-18,8-8,33-19,100.8,97.8,+3.0
2014-15,DAL,50,32,.610,27-14,23-18,7-9,29-23,105.2,102.3,+2.9
2014-15,TOR,49,33,.598,27-14,22-19,11-5,33-19,104.0,100.9,+3.1
2014-15,WSH,46,36,.561,29-12,17-24,10-6,30-22,98.5,97.8,+0.7
2014-15,NO,45,37,.549,28-13,17-24,8-8,29-23,99.4,98.6,+0.8
2014-15,OKC,45,37,.549,29-12,16-25,10-6,25-27,104.0,101.8,+2.2
2014-15,MIL,41,41,.500,23-18,18-23,7-9,30-22,97.8,97.4,+0.4
2012-13,SA,58,24,.707,35-6,23-18,12-4,33-19,103.0,96.6,+6.4
2012-13,DEN,57,25,.695,38-3,19-22,11-5,38-14,106.1,101.1,+5.0
2012-13,LAC,56,26,.683,32-9,24-17,11-5,35-17,101.1,94.6,+6.5
2012-13,MEM,56,26,.683,32-9,24-17,10-6,34-18,93.4,89.3,+4.1
2012-13,NY,54,28,.659,31-10,23-18,10-6,37-15,100.0,95.7,+4.3
2012-13,IND,49,32,.605,30-11,19-21,13-3,31-20,94.7,90.7,+4.0
2012-13,BKN,49,33,.598,26-15,23-18,11-5,36-16,96.9,95.1,+1.8
2012-13,GS,47,35,.573,28-13,19-22,9-7,28-24,101.2,100.3,+0.9
2012-13,CHI,45,37,.549,24-17,21-20,9-7,34-18,93.2,92.9,+0.3
2012-13,LAL,45,37,.549,29-12,16-25,8-8,28-24,102.2,101.0,+1.2
2012-13,HOU,45,37,.549,29-12,16-25,6-10,24-28,106.0,102.5,+3.5
2012-13,ATL,44,38,.537,25-16,19-22,11-5,29-23,98.0,97.5,+0.5
2012-13,UTAH,43,39,.524,30-11,13-28,9-7,26-26,98.0,98.1,-0.1
2012-13,BOS,41,40,.506,27-13,14-27,7-9,27-24,96.5,96.7,-0.2
2012-13,DAL,41,41,.500,24-17,17-24,7-9,24-28,101.1,101.7,-0.6
2012-13,MIL,38,44,.463,21-20,17-24,7-9,24-28,98.9,100.4,-1.5
2015-16,GS,73,9,.890,39-2,34-7,15-1,46-6,114.9,104.1,+10.8
2011-12,MIA,46,20,.697,28-5,18-15,9-5,35-13,98.5,92.5,+6.0
2011-12,IND,42,24,.636,23-10,19-14,9-4,29-19,97.7,94.4,+3.3
2011-12,LAL,41,25,.621,26-7,15-18,9-5,32-16,97.3,95.9,+1.4
2011-12,MEM,41,25,.621,26-7,15-18,7-8,26-22,95.0,93.0,+2.0
2011-12,LAC,40,26,.606,24-9,16-17,7-7,29-19,97.5,95.0,+2.5
2011-12,ATL,40,26,.606,23-10,17-16,11-3,31-17,96.6,93.2,+3.4
2011-12,BOS,39,27,.591,24-9,15-18,8-6,32-16,91.8,89.3,+2.5
2011-12,DEN,38,28,.576,20-13,18-15,6-7,22-26,104.1,101.2,+2.9
2011-12,ORL,37,29,.561,21-12,16-17,8-7,30-18,94.2,93.4,+0.8
2011-12,NY,36,30,.545,22-11,14-19,8-6,28-20,97.8,94.7,+3.1
2011-12,DAL,36,30,.545,23-10,13-20,8-5,26-22,95.8,94.8,+1.0
2011-12,UTAH,36,30,.545,25-8,11-22,9-4,25-23,99.7,99.0,+0.7
2011-12,PHI,35,31,.530,19-14,16-17,7-6,28-20,93.6,89.4,+4.2
2011-12,HOU,34,32,.515,22-11,12-21,6-8,23-25,98.1,97.9,+0.2
